0,1,2,3,4,5,6,7,8,9,10,11
子,戌,丑,亥,寅,卯,辰,巳,午,未,申,酉
23:00 - 01:00,19:00 - 21:00,01:00 - 03:00,21:00 - 23:00,3:00 - 5:00,5:00 - 7:00,7:00 - 9:00,9:00 - 11:00,11:00 - 13:00,13:00 - 15:00,15:00 - 17:00,17:00 - 19:00
Инь-цяо,Дай-май,Чонг-май,Инь-цяо,Дай-май,Ян-цяо,Чжун май,Ян-вэй,Ян-цяо,Чжун май,Инь-цяо,Чонг-май
Kid.6,Gb.41,Sp.4,Kid.6,Gb.41,Bl.62,Kid.6,Th.5,Bl.62,Kid.6,Kid.6,Sp.4
Инь-цяо,Цзу-Линь Ци,Гун-Сунь,Инь-цяо,Цзу-Линь Ци,Шэнь-Май,Чжао-Хай,Вай-Гуань,Шэнь-Май,Чжао-Хай,Инь-цяо,Гун-Сунь
